Institution,Country/territory
Ministère de l’Education Nationale et de l’Education Civique,Gabon
"Gabon Ministry of Forests, Seas, Environment and Climate",Gabon
"Ministère des Eaux, des Forêts, de la Mer, de L'Environnement, Chargé du Plan Climat",Gabon
Gambia Ministry of Health and Social Welfare (MOHSW),Gambia
University of the Gambia (UTG),Gambia
"Gambia, Ministry of Fisheries and Water Resources",Gambia
University of Georgia,Georgia
Ivane Javakhishvili Tbilisi State University (TSU),Georgia
National Center of Tuberculosis and Lung Disease (NCTLD),Georgia
"George Eliava Institute of Bacteriophage, Microbiology and Virology",Georgia
Georgian National Museum,Georgia
Ilia State University,Georgia
Free University of Tbilisi,Georgia
Georgian Technical University (GTU),Georgia
LTD Diacor,Georgia
Max Planck Society,Germany
Helmholtz Association of German Research Centres,Germany
Leibniz Association,Germany
Technical University of Munich (TUM),Germany
Ludwig Maximilians University of Munich (LMU),Germany
University of Münster (WWU),Germany
Heidelberg University (Uni Heidelberg),Germany
University of Würzburg (JMU),Germany
RWTH Aachen University (RWTH Aachen),Germany
University of Tübingen (Uni Tübingen),Germany
University of Göttingen,Germany
University of Freiburg (Uni Freiburg),Germany
TU Dresden,Germany
Free University of Berlin (FU Berlin),Germany
University of Erlangen-Nuremberg (FAU),Germany
University of Bonn (Uni Bonn),Germany
Goethe University Frankfurt (GU),Germany
University of Hamburg (UHH),Germany
Johannes Gutenberg University Mainz (JGU),Germany
University of Regensburg (UR),Germany
University of Cologne (UoC),Germany
Humboldt University of Berlin (HU Berlin),Germany
European Molecular Biology Laboratory (EMBL),Germany
Technische Universität Berlin (TU Berlin),Germany
University of Duisburg-Essen (UDE),Germany
University of Bayreuth (UBT),Germany
Ruhr University Bochum (RUB),Germany
Ulm University,Germany
University of Konstanz,Germany
Leipzig University,Germany
University of Kiel (CAU),Germany
Friedrich Schiller University Jena (FSU),Germany
Leibniz University Hannover (LUH),Germany
Philipps University of Marburg (Uni Marburg),Germany
TU Dortmund University,Germany
University of Bremen (Uni Bremen),Germany
Heinrich Heine University Düsseldorf (HHU),Germany
Saarland University (Saar-Uni),Germany
Technical University of Darmstadt (TU Darmstadt),Germany
University of Potsdam,Germany
University of Stuttgart,Germany
Bielefeld University,Germany
Martin Luther University Halle-Wittenberg (MLU),Germany
Technical University Braunschweig (TU Braunschweig),Germany
Fraunhofer Society,Germany
Giessen University (JLU),Germany
University of Siegen,Germany
University of Kaiserslautern (TU Kaiserslautern),Germany
University of Oldenburg,Germany
University of Rostock,Germany
Otto-von-Guericke University Magdeburg (OVGU),Germany
University of Greifswald,Germany
University of Augsburg,Germany
Paderborn University,Germany
University of Lübeck,Germany
Jacobs University Bremen,Germany
Hannover Medical School (MHH),Germany
Chemnitz University of Technology (TU Chemnitz),Germany
Federal Institute for Materials Research and Testing (BAM),Germany
Union of the German Academies of Sciences and Humanities,Germany
University of Wuppertal,Germany
University of Osnabrück (Uni Osnabrück),Germany
University of Kassel,Germany
BASF SE,Germany
C. H. Boehringer Sohn AG & Co. KG (Boehringer Ingelheim),Germany
Physikalisch-Technische Bundesanstalt (PTB),Germany
Germany Federal Ministry of Health (BMG),Germany
Hamburg University of Technology (TUHH),Germany
Center of Advanced European Studies and Research (CAESAR),Germany
Institute of Molecular Biology gGmbH (IMB),Germany
Technische Universität Bergakademie Freiberg (TUBAF),Germany
Frankfurt Institute for Advanced Studies (FIAS),Germany
Bayer AG,Germany
European Southern Observatory (ESO),Germany
University of Hohenheim,Germany
Federal Ministry of Food and Agriculture (BMEL),Germany
Bundeswehr,Germany
German Federal Institute of Hydrology (BfG),Germany
NaMLab gGmbH,Germany
Federal Institute for Geosciences and Natural Resources (BGR),Germany
Ilmenau University of Technology (TU Ilmenau),Germany
University of Koblenz and Landau,Germany
Institute for Composite Materials (IVW),Germany
Photonik-Zentrum Kaiserslautern e.V. (PZKL),Germany
Merck KGaA,Germany
European X-ray Free-Electron Laser Facility GmbH (XFEL),Germany
European Magnetic Field Laboratory (EMFL),Germany
Clausthal University of Technology (TU Clausthal),Germany
BioNTech AG,Germany
Center for Nanotechnology GmbH (CeNTech GmbH),Germany
General Numerics Research Lab e.V.,Germany
Zuse Institute Berlin (ZIB),Germany
German Center for Infection Research (DZIF),Germany
Federal Environment Agency Germany (UBA),Germany
Natural and Medical Sciences Institute (NMI),Germany
Bruker BioSpin GmbH,Germany
DVGW - Water Technology Center (TZW),Germany
Paul-Ehrlich-Institut (PEI),Germany
University of Veterinary Medicine Hannover (TiHo),Germany
German Centre for Cardiovascular Research (DZHK),Germany
Heidelberg Institute for Theoretical Studies (HITS),Germany
The German Center for Lung Research (DZL),Germany
Hahn-Schickard-Gesellschaft für angewandte Forschung e.V. (HSG),Germany
Central Institute of Mental Health (CIMH),Germany
Evotec AG,Germany
Bernstein Network Computational Neuroscience (BCCN),Germany
University of Mannheim,Germany
Federal Ministry of Transport and Digital Infrastructure (BMVI),Germany
Karl Schwarzschild Observatory (TLS),Germany
Robert Bosch GmbH,Germany
Access e.V.,Germany
Schott AG,Germany
Heidelberg University of Education,Germany
Max Planck Institute for Plasma Physics - Greifswald,Germany
AMO GmbH,Germany
OSRAM AG,Germany
University of Erfurt,Germany
non-affiliated author contributions,Germany
Aalen University,Germany
Climate Analytics GmbH,Germany
"Walther Lab A3BMS: Adaptive, Active and Autonomous Bioinspired Material Systems",Germany
INNOVENT e.V. Technologieentwicklung Jena,Germany
NVision Imaging Technologies GmbH,Germany
German Research Center for Artificial Intelligence GmbH (DFKI),Germany
Attocube Systems AG,Germany
Bavarian Natural History Collections (SNSB),Germany
Siemens AG,Germany
Volkswagen AG,Germany
Berlin Institute for the Foundations of Learning and Data (BIFOLD),Germany
Continental Reifen Deutschland GmbH,Germany
Asklepios Kliniken GmbH,Germany
Symrise AG,Germany
Sartorius AG,Germany
Munich University of Applied Sciences,Germany
Hochschule Niederrhein University of Applied Science,Germany
MHP Management- und IT-Beratung GmbH,Germany
Laser-Laboratorium Göttingen e.V. (LLG),Germany
art photonics GmbH,Germany
Bonn-Rhein-Sieg University of Applied Sciences,Germany
Mannheim University of Applied Sciences,Germany
University of Applied Sciences Offenburg,Germany
Aixtron SE,Germany
Stiftung Mercator,Germany
Neu-Ulm University of Applied Sciences (HNU),Germany
Max Planck Institute for Biology,Germany
Berlin Mathematical School,Germany
Meteorkrater-Museum Steinheim,Germany
Salem Medical Center,Germany
Stuttgart State Museum of Natural History (SMNS),Germany
Georg-Speyer-Haus - Institute for Tumor Biology and Experimental Therapy,Germany
Curt-Engelhorn-Centre Archaeometry gGmbH,Germany
Heidelberg Pharma AG,Germany
"FAIR Data Infrastructure for Physics, Chemistry, Materials Science, and Astronomy e.V. (FAIR DI)",Germany
Beuth University of Applied Sciences,Germany
Nano Analytik GmbH,Germany
Hamburg University of Applied Sciences (HAW Hamburg),Germany
Vivantes Network for Health GmbH,Germany
CureVac GmbH,Germany
Taros Chemicals GmbH & Co. KG,Germany
NewClimate Institute,Germany
Jcmwave GmbH,Germany
Thünen Institute,Germany
Robert Bosch Stiftung GmbH,Germany
Kerckhoff Klinik,Germany
Technische Hochschule Mittelhessen University of Applied Sciences (THM),Germany
Frankfurt School of Finance and Management,Germany
Munich Leukemia Laboratory (MLL),Germany
Studio Tomás Saraceno GmbH,Germany
Bavarian Centre for Applied Energy Research (ZAE Bayern),Germany
European Virtual Institute for Speciation Analysis (EVISA),Germany
Brandenburg University of Technology Cottbus - Senftenberg (BTU),Germany
"Eusserthal Ecosystem Research Station (EERES), University of Koblenz and Landau",Germany
Hydra Network,Germany
aixACCT Systems GmbH,Germany
SIMUSERV GmbH,Germany
JPT Peptide Technologies GmbH,Germany
Evonik Industries AG,Germany
Dynamic Biosensors GmbH,Germany
Fresenius University of Applied Sciences,Germany
Jena University of Applied Sciences (EAH Jena),Germany
Leuphana University of Lueneburg,Germany
IONTOF GmbH,Germany
HafenCity University Hamburg (HCU),Germany
"Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr (BAAINBw)",Germany
Institute for Advanced Study Berlin,Germany
ISAR Bioscience GmbH,Germany
Institut für Mechatronik e.V.,Germany
Lübeck University of Applied Sciences,Germany
Covestro Deutschland AG,Germany
Institute of Groundwater Ecology,Germany
MagnoTherm Solutions GmbH,Germany
NET CHECK GmbH,Germany
PicoQuant GmbH,Germany
CESifo Group Munich,Germany
German Heart Center Berlin (DHZB),Germany
Ethris GmbH,Germany
Lipotype GmbH,Germany
Center for Solar Energy and Hydrogen Research Baden-Württemberg (ZSW),Germany
NETZSCH Group,Germany
Institute for Solar Energy Research GmbH Hameln / Emmerthal (ISFH),Germany
LaVision BioTec GmbH,Germany
St. Franziskus-Hospital Münster,Germany
Hertie School of Governance,Germany
Stadtwerke Düsseldorf AG,Germany
Alacris Theranostics GmbH,Germany
Proteopath,Germany
Nanion Technologies GmbH,Germany
Experimental Pharmacology and Oncology Berlin-Buch GmbH (EPO),Germany
Klinikum Coburg GmbH,Germany
Carl Zeiss AG,Germany
German Red Cross (DRK),Germany
Karlsruhe University of Applied Sciences,Germany
KWS SAAT SE,Germany
Cube Biotech GmbH,Germany
Kurt-Schwabe-Institut (KSI),Germany
Leibniz Supercomputing Centre (LRZ),Germany
MicroDiscovery GmbH,Germany
Innovative Molecules GmbH,Germany
HHL Leipzig Graduate School of Management (HHL),Germany
PHYTOsolution,Germany
IKA-Werke GmbH & CO. KG,Germany
EASYTEC GmbH,Germany
Wintershall Dea GmbH,Germany
Institute for Bee Research Hohen Neuendorf  (LIB),Germany
German Sport University Cologne (GSU),Germany
Fresenius SE & Co. KGaA,Germany
Analytik Jena AG,Germany
Alere Technologies GmbH,Germany
Teaching and Research in Neuroscience for Development (TReND in Africa),Germany
Scienion AG,Germany
Aristra GmbH,Germany
glyXera GmbH,Germany
Center for Advanced Systems Understanding (CASUS),Germany
Städtisches Klinikum München (StKM),Germany
Koblenz University of Applied Sciences,Germany
Material Engineering Center Saarland (MECS),Germany
Fokus Natur,Germany
Spectral Service AG,Germany
United Nations University Institute for Integrated Management of Material Fluxes and of Resources (UNU-FLORES),Germany
Institute for Social-Ecological Research (ISOE),Germany
Axolabs GmbH,Germany
POPs Environmental Consulting,Germany
International Psychoanalytic University Berlin (IPU),Germany
Brandenburg Medical School - Theodor Fontane (MHB),Germany
Dewpoint Therapeutics GmbH,Germany
CAPNETZ Stiftung,Germany
Otto Bock Holding GmbH & Co. KG,Germany
Helmut Schmidt University,Germany
Deutsche Post Foundation,Germany
Greifswald Mire Centre (GMC),Germany
University of Applied Sciences Bremerhaven,Germany
German Development Institute (DIE),Germany
Miprolab - Mikrobiologische Diagnostik GmbH,Germany
OmicEra Diagnostics GmbH,Germany
"Institute of Avian Research ""Vogelwarte Helgoland"" (IAR)",Germany
Centogene AG,Germany
Carbon Minds GmbH,Germany
GlycoUniverse Holding GmbH,Germany
Flensburg University of Applied Sciences,Germany
Bonn International Center for Conversion (BICC),Germany
MINJIE Analytical Laboratory e.K.,Germany
Deggendorf Institute of Technology (DIT),Germany
Singulus Technologies AG,Germany
Lanxess AG,Germany
Deutsche COVID-19 OMICS Initiative (DeCOI),Germany
Glassomer GmbH,Germany
8sens.biognostic GmbH,Germany
Kipu Quantum GmbH,Germany
Photonion GmbH,Germany
Sirion-Biotech GmbH,Germany
Ella Biotech GmbH,Germany
APE Angewandte Physik und Elektronik GmbH,Germany
LABOKLIN GMBH & CO.KG,Germany
Physical Electronics GmbH,Germany
Neaspec GmbH,Germany
Das Kunststoff-Zentrum (SKZ),Germany
Codeshare Software GmbH,Germany
Saarland Cancer Registry,Germany
Breitmeier Messtechnik GmbH,Germany
Fertility Center Berlin,Germany
Kinderwunschzentrum Göttingen,Germany
S-PACT GmbH,Germany
BRAIN Biotech AG,Germany
Biolog Life Science Institute,Germany
NPI Electronic GmbH,Germany
SAP AG,Germany
Heidelberger Druckmaschinen AG,Germany
Partnership for Assessment and Accreditation of Scientific Practice (PAASP GmbH),Germany
Eisbach Bio GmbH,Germany
European Molecular Biology Organization (EMBO),Germany
Bavarian State Research Center for Agriculture (LFL),Germany
Chemical and Veterinary Investigation Office Münsterland-Emscher-Lippe (CVUA-MEL),Germany
Hamburgische Schiffbau‐Versuchsanstalt GmbH (HSVA),Germany
Hospital Brothers of Mercy Regensburg,Germany
d-fine GmbH,Germany
Münster University of Applied Sciences,Germany
CellTrend GmbH,Germany
Biobyte Solutions GmbH,Germany
Reutlingen University,Germany
Krankenhaus Nordwest GmbH,Germany
ProxiVision GmbH,Germany
SRH Wald-Klinikum Gera,Germany
Aachen University of Applied Sciences (FH Aachen),Germany
Becker & Hickl GmbH,Germany
HyperSpecs.de,Germany
Micromod Partikeltechnologie GmbH,Germany
Nature And Biodiversity Conservation Union (NABU),Germany
Meteorite Laboratory,Germany
Consulting-Geo,Germany
Accurion GmbH,Germany
Xylem Services GmbH,Germany
Heidelberg Instruments Mikrotechnik GmbH,Germany
Eifel-Rur Waterboard (WVER),Germany
"Geyser-Center, Andernach",Germany
Lumobiotics GmbH,Germany
ZB Zimmermann und Becker GmbH,Germany
Dietmar Hopp Stiftung gGmbH,Germany
Federal Foreign Office (AA),Germany
geneXplain GmbH,Germany
AIM – Advanced Identification Methods GmbH,Germany
Institute of Marine Biotechnology e.V. (IMaB),Germany
Weihenstephan-Triesdorf University of Applied Sciences (HSWT),Germany
Federal Institute for Drugs and Medical Devices (BfArM),Germany
Bavarian Health and Food Safety Authority (LGL),Germany
München Klinik,Germany
JPK Instruments AG,Germany
Institut für Mikroelektronik Stuttgart (IMS CHIPS),Germany
Dresden University of Applied Sciences (HTW Dresden),Germany
Augen-Zentrum-Nordwest,Germany
University of Hagen,Germany
"Medizinisches Versorgungszentrum für Histologie, Zytologie und Molekulare Diagnostik (MVZHZMD Trier)",Germany
Staatsbetrieb Sachsenforst (SBS),Germany
TechnologieZentrumDortmund GmbH (TZDO),Germany
PROvendis GmbH,Germany
Signatope GmbH,Germany
ALS Voice gGmbH,Germany
Secobra Saatzucht GmbH,Germany
Lower Saxony Institute for Historical Coastal Research (NIHK),Germany
Raith GmbH,Germany
WITec GmbH,Germany
Climate Risk Analysis,Germany
German Society for International Cooperation (GIZ),Germany
Berchtesgaden National Park,Germany
Neurologie am Leipziger Platz,Germany
German Institute for International and Security Affairs (SWP),Germany
Sumaya Biotech GmbH & Co. KG,Germany
Dessau Medical Center,Germany
UP Transfer GmbH,Germany
Schmalkalden University of Applied Sciences (FHS),Germany
St. Marien Amberg Hospital,Germany
Riboxx GmbH,Germany
Neanderthal Museum,Germany
University of Applied Sciences Würzburg-Schweinfurt (FHWS),Germany
Magdeburg-Stendal University of Applied Sciences,Germany
Miltenyi Biotec GmbH,Germany
EvoLogics GmbH,Germany
State Government of North Rhine Westphalia,Germany
Kliniken der Stadt Köln gGmbH,Germany
Sozialstiftung Bamberg,Germany
Bayreuth Medical Center (BMC),Germany
Senckenberg am Meer,Germany
"Hessian Agency for Nature Conservation, Environment and Geology",Germany
ISC Konstanz e.V.,Germany
Institute for Advanced Sustainability Studies e.V. (IASS),Germany
Auf der Bult Centre for Children and Adolescents,Germany
Infineon Technologies AG,Germany
BioMed X GmbH,Germany
7TM Antibodies GmbH,Germany
Institute of Biotechnology and Drug Research gGmbH (IBWF),Germany
2bind GmbH,Germany
Institute of Clinical Genetics Bonn,Germany
University Hospital Augsburg,Germany
Bavarian State Institute for Forests and Forestry (LWF),Germany
Byte Physics,Germany
Benedikt Kreutz Rehabilitationszentrum Bad Krozingen e.V.,Germany
Surface Concept GmbH,Germany
Dachverband Deutscher Avifaunisten e.V. (DDA),Germany
Klinikum Oldenburg,Germany
evocenta GmbH,Germany
Wuppertal Zoo,Germany
Ramboll Deutschland GmbH,Germany
Tierpark Berlin-Friedrichsfelde GmbH,Germany
Krankenhaus Mara,Germany
stimOS GmbH,Germany
Vogelpark Marlow,Germany
Microworks GmbH,Germany
Hof University of Applied Sciences,Germany
Bavarian Forest National Park,Germany
Anhalt University of Applied Sciences,Germany
Reiss Engelhorn Museum,Germany
Berliner Wasserbetriebe (BWB),Germany
Witten/Herdecke University (UW/H),Germany
HMU Health and Medical University (HMU),Germany
Heliatek GmbH,Germany
State Natural History Museum in Braunschweig,Germany
Wadden Sea National Park of Schleswig-Holstein,Germany
Werkstatt für potenzielle Genetik UG (WePoGe),Germany
Thuringia State Office for the Preservation of Historical Monuments (TLAD),Germany
NanoTemper Technologies GmbH,Germany
Tropenklinik Paul-Lechler-Krankenhaus,Germany
LungenClinic Grosshansdorf,Germany
schnaiTEC GmbH,Germany
EMBL Sites,Germany
BioSolutions Halle GmbH,Germany
"Hannover University of Music, Drama and Media (HMTMH)",Germany
Praxis für Humangenetik Tübingen,Germany
Clinical Research Services (CRS),Germany
Northwest German Forest Research Institute,Germany
Competence Network for Congenital Heart Defects,Germany
MVZ Diaverum Neubrandenburg,Germany
Nuvisan ICB GmbH,Germany
BMS-Umweltplanung,Germany
University of Applied Sciences Emden/Leer,Germany
Berlin Partner für Wirtschaft und Technologie GmbH,Germany
German Federal Ministry of Education and Research (BMBF),Germany
Klinikum Stuttgart,Germany
UltraFast Innovations GmbH (UFI),Germany
Saatzucht Bauer GmbH & Co. KG,Germany
Saatzucht Josef Breun GmbH & Co. KG,Germany
PZO Saat GmbH - Pflanzenzucht Oberlimpurg (PZO),Germany
Klinikum Landshut,Germany
Städtisches Klinikum Karlsruhe gGmbH,Germany
W. von Borries-Eckendorf GmbH & Co. KG,Germany
Deutsche Saatveredelung AG (DSV),Germany
Nordsaat Saatzucht GmbH,Germany
Brose Fahrzeugteile GmbH & Co. KG,Germany
Allianz SE,Germany
Life & Brain GmbH,Germany
Hochschule Geisenheim University,Germany
OHB System AG,Germany
SYNLAB International GmbH,Germany
Life Molecular Imaging GmbH (LMI),Germany
University of Applied Sciences for Engineering and Economics (HTW Berlin),Germany
Alexianer St. Hedwig Krankenhaus,Germany
Klinikum Passau,Germany
CELLphenomics GmbH,Germany
BioChem agrar GmbH,Germany
Hospital Cottbus,Germany
St. Marien-Hospital Hamm,Germany
Vinzenz von Paul Kliniken,Germany
Regio Klinikum Elmshorn,Germany
LifeGlimmer GmbH,Germany
Abberior Instruments GmbH,Germany
University of Applied Forest Sciences Rottenburg (HFR),Germany
Praxis für Humangenetik Erfurt,Germany
Contilia GmbH,Germany
Praxis und Tagesklinik,Germany
Krankenhaus Waldfriede,Germany
Praxis für Humangenetik Bremen,Germany
Monasterium Laboratory Skin and Hair Research Solutions GmbH,Germany
Forest Research Institute of Baden-Wuerttemberg (FVA),Germany
RAPID Biomedical GmbH,Germany
University of Applied Sciences Worms,Germany
Paracelsus-Elena Hospital,Germany
Medical Park AG,Germany
Labor Dr. Krause und Kollegen MVZ GmbH,Germany
Institute of Sleep and Dream Technologies,Germany
Hochschule Furtwangen University (HFU),Germany
Stiftung Umwelt- und Naturschutz MV,Germany
Landkreis Vorpommern-Greifswald,Germany
Zentrum für Umwelt und Kultur Benediktbeuern e.V. (ZUK),Germany
University of Applied Science Nuertingen-Geislingen (HfWU),Germany
Praxis Dr Patric SCHÖN,Germany
BNL Vegelin,Germany
Institut für Landschaftsökologie und Naturschutz GmbH (ILN Greifswald),Germany
Regional administration Havelland,Germany
CeGaT GmbH,Germany
BG Clinic Ludwigshafen,Germany
Cardio-Pulmonary Institute (CPI),Germany
GeneWerk GmbH,Germany
XPLORAYTION GmbH,Germany
Textilforschungsinstitut Thüringen-Vogtland e.V. (TITV Greiz),Germany
Henkel AG & Co. KGaA,Germany
Laser Zentrum Hannover e.V. (LZH),Germany
boden & grundwasser Allgäu GmbH,Germany
Schlosspark-Klinik,Germany
Large Space Structures GmbH,Germany
Günzburg District Hospital (BKH Günzburg),Germany
University of Applied Sciences (TH Köln),Germany
Stuttgart Regional Council,Germany
Diakonie Kork,Germany
Darmstadt University of Applied Sciences (h_da),Germany
Trier University,Germany
HörTech gGmbH - Kompetenzzentrum für Hörgeräte-Systemtechnik,Germany
Jade University of Applied Sciences - Wilhelmshaven/Oldenburg/Elsfleth (Jade HS),Germany
Hörzentrum Oldenburg GmbH,Germany
Hanse-Wissenschaftskolleg (HWK) - Institute for Advanced Study,Germany
Malteser Krankenhaus St. Franziskus-Hospital,Germany
Institut für Pathologie Kaufbeuren-Ravensburg,Germany
IDEXX Laboratories,Germany
MVZ Humane Genetik,Germany
MVZ am Klinikum Konstanz,Germany
Helios Kliniken Kassel,Germany
Ludwig-Noll-Krankenhaus,Germany
Institute for Bioprocessing and Analytical Measurement Techniques (IBA),Germany
Dritter Orden Clinic,Germany
Comma Soft AG,Germany
Gastroenterologische Schwerpunktpraxis,Germany
Diamond Materials GmbH,Germany
Brandenburg State Forestry Center of Excellence,Germany
Northern German Epilepsy Centre for Children and Adolescents (NGEC),Germany
Caritasverband für die Diözese Regensburg e. V.,Germany
State Office for Heritage Management and Archaeology Saxony-Anhalt (LDA-SA),Germany
Bremen University of Applied Sciences,Germany
"Berlin Society of Anthropology, Ethnology and Prehistory (BGAEU)",Germany
Berlin State Museums,Germany
Meisterschule Ebern für das Schreinerhandwerk,Germany
aimed analytics,Germany
St. Joseph Krankenhaus,Germany
Praxis für Humangenetik - Berlin-Mitte,Germany
Labor Dr. Wisplinghoff,Germany
Thüringisches Landesamt für Denkmalpflege und Archäologie (TLDA),Germany
"Verband Biologie, Biowissenschaften und Biomedizin - VBIO e.V.",Germany
Israelitisches Krankenhaus in Hamburg,Germany
Krankenhaus Vilsbiburg,Germany
ECT Oekotoxikologie GmbH,Germany
Fulda University of Applied Sciences,Germany
WGS Workgroup Solutions GmbH,Germany
University of Bamberg,Germany
State Office for Cultural Heritage Management Baden-Wuerttemberg,Germany
Zentrum für Humangenetik Regensburg,Germany
neoplas med GmbH,Germany
Biophotonics Diagnostics GmbH,Germany
Muthesius University (MKHS),Germany
WHU - Otto Beisheim School of Management,Germany
University of Applied Sciences for Economics and Management (FOM),Germany
VITROCELL Systems GmbH,Germany
Decodon GmbH,Germany
Psychiatrische Zentrum Nordbaden (PZN),Germany
Brandenburg University of Applied Sciences (THB),Germany
University of Hildesheim,Germany
German Biobank Node (bbmri.de),Germany
Hamburg State Ministry for Science and Research (BWFG),Germany
"Federal Ministry of the Interior, Building and Community (BMI)",Germany
Ansbach University of Applied Sciences,Germany
Dortmund University of Applied Sciences and Arts (FH Dortmund),Germany
Frankfurt University of Applied Sciences,Germany
Petanux GmbH,Germany
KfH Kuratorium für Dialyse und Nierentransplantation e.V.,Germany
Kliniken Südostbayern AG,Germany
Kwame Nkrumah University of Science and Technology (KNUST),Ghana
University of Ghana,Ghana
CSIR Water Research Institute,Ghana
INDEPTH Network Secretariat,Ghana
Lister Hospital and Fertility Centre,Ghana
Ghana Health Service (GHS),Ghana
University of Cape Coast (UCC),Ghana
CSIR‐Forestry Research Institute of Ghana (FORIG),Ghana
C.K. Tedam University of Technology and Applied Sciences (CKT-UTAS),Ghana
University of Health and Allied Science (UHAS),Ghana
Korle Bu Teaching Hospital,Ghana
Komfo Anokye Teaching Hospital (KATH),Ghana
Peace and Love Hospital,Ghana
Centre for African Wetlands (CAW),Ghana
Forestry Commission of Ghana,Ghana
University of Environment and Sustainable Development,Ghana
University of Crete (UOC),Greece
National and Kapodistrian University of Athens (UOA),Greece
Foundation for Research and Technology - Hellas (FORTH),Greece
National Centre for Scientific Research 'Demokritos' (NCSR),Greece
University of Ioannina (UOI),Greece
University of Patras,Greece
Aristotle University of Thessaloniki (AUTH),Greece
National Technical University of Athens (NTUA),Greece
Academy of Athens,Greece
Biomedical Sciences Research Centre Alexander Fleming (BSRC Fleming),Greece
National Hellenic Research Foundation (NHRF),Greece
National Observatory of Athens (NOA),Greece
University of Peloponnese (UOP),Greece
University of the Aegean,Greece
University of Thessaly (UTH),Greece
Sotiria Chest Diseases Hospital of Athens,Greece
Agricultural University of Athens,Greece
Athens University of Economics and Business (AUEB),Greece
International Hellenic University (IHU),Greece
FORTH Institute of Electronic Structure and Laser (IESL FORTH),Greece
Democritus University of Thrace (DUTH),Greece
E3-Modelling,Greece
Amyndas Pharmaceuticals S.A.,Greece
CosmoPHOS Ltd. (COS),Greece
Technical University of Crete (TUC),Greece
Hellenic Ministry of Culture and Sports,Greece
University General Hospital of Heraklion (PAGNI),Greece
University of Western Macedonia (UOWM),Greece
Hellenic Institute for the Study of Sepsis (HISS),Greece
Hellenic Space Center,Greece
Harokopio University of Athens (HUA),Greece
Center for Research and Technology Hellas (CERTH),Greece
Anogia Medical Centre,Greece
Echinos Medical Centre,Greece
University General Hospital of Thessaloniki (AHEPA),Greece
Hellenic Military Academy,Greece
Hellenic Ornithological Society,Greece
Hellenic Center for Disease Control and Prevention (HCDCP),Greece
Evangelismos Hospital,Greece
HybridStat Predictive Analytics O.E.,Greece
Agia Sofia Children's Hospital,Greece
IASO Children's Hospital,Greece
General University Hospital of Larissa,Greece
"Athena Research and Innovation Center in Information, Communication and Knowledge Technologies (Athena RIC)",Greece
Thriasio General Hospital of Elefsina,Greece
Tzaneio General Hospital of Piraeus,Greece
Elpis General Hospital of Athens,Greece
Korgialeneion-Benakeion General Hospital,Greece
Institute of Child Health (ICH),Greece
ELPEN Pharmaceutical Co. Inc.,Greece
Konstantopoulio General Hospital,Greece
University of West Attica (UniWA),Greece
Hellenic Open University (HOU),Greece
Papageorgiou Hospital,Greece
Corfu General Clinic,Greece
Asklipieio Voulas Hospital,Greece
G. Gennimatas General Hospital,Greece
Dromokaiteio Psychiatric Hospital of Athens,Greece
KAT Attica General Hospital,Greece
Greek Association of Alzheimer’s Disease and Related Disorders (Alzheimer Hellas),Greece
Greenland Institute of Natural Resources (GINR),Greenland
University of Greenland,Greenland
St. George's University (SGU),Grenada
"Instituto Nacional de Sismología, Vulcanología, Meteorología e Hidrología (INSIVUMEH)",Guatemala
University of the Valley of Guatemala (UVG),Guatemala
Autoridad para el Manejo Sustentable de la Cuenca y del Lago Amatitlán,Guatemala
University of San Carlos of Guatemala (USAC),Guatemala
Gamal Abdel Nasser University of Conakry (UGANC),Guinea
Hôpital Régional de Nzérékoré,Guinea
Republic of Guinea Ministry of Higher Education and Scientific Research (MES-RS),Guinea
Institut Norvégien de Santé Publique (INSP),Guinea
Guinea Ministry of Health and Public Hygiene,Guinea
Agence Nationale de Sécurité Sanitaire-ANSS GUINEE,Guinea
Julius Nyerere University of Kankan (UJNK),Guinea
Instituto da Biodiversidade e das Áreas Protegidas (IBAP),Guinea-Bissau
University of Guyana,Guyana
Ministry of Public Health and Population (MSPP),Haiti
"Christianville Foundation, Inc.",Haiti
Hôpital Universitaire de Mirebalais,Haiti
National Autonomous University of Honduras (UNAH),Honduras
Hungarian Academy of Sciences (HAS),Hungary
University of Debrecen,Hungary
Eötvös Loránd University (ELTE),Hungary
Budapest University of Technology and Economics (BME),Hungary
University of Szeged (SZTE),Hungary
Semmelweis University (SE),Hungary
University of Pannonia,Hungary
University of Pécs (PTE),Hungary
ELI-HU Nonprofit Ltd.,Hungary
Pázmány Péter Catholic University (PPCU),Hungary
Hungarian University of Agriculture and Life Science (MATE),Hungary
National Institute of Oncology (NIO),Hungary
National Institute of Clinical Neurosciences (NICN),Hungary
University of Veterinary Medicine (Univet),Hungary
WESSLING Hungary Ltd.,Hungary
National Korányi Institute for Pulmonology,Hungary
County Hospital of Torokbalint,Hungary
AstridBio Technologies Inc.,Hungary
"Institute of Geodesy, Cartography and Remote Sensing (FÖMI)",Hungary
National University of Public Service (NUPS),Hungary
"Medical Centre, Hungarian Defence Forces",Hungary
University of Nyíregyháza,Hungary
Eszterházy Károly University of Applied Sciences (EKU),Hungary
Biospiral-2006 Ltd.,Hungary
Institute of Advanced Studies Kőszeg (iASK),Hungary
Corvinus University of Budapest,Hungary
