Institution_fullName,Institution_withOut_abb,Institution_Abbreviation,country
Cambridgeshire and Peterborough NHS Foundation Trust,Cambridgeshire and Peterborough NHS Foundation Trust,CPFT,United Kingdom (UK)
Cardio-Pulmonary Institute,Cardio-Pulmonary Institute,CPI,Germany
Cancer Prevention Institute of California,Cancer Prevention Institute of California,CPIC,United States of America (USA)
Colégio Pedro II,Colégio Pedro II,CPII,Brazil
California Pacific Medical Center,California Pacific Medical Center,CPMC,United States of America (USA)
Piedmont Reference Center for Epidemiology and Cancer Prevention (CPO Piemonte),Piedmont Reference Center for Epidemiology and Cancer Prevention (CPO Piemonte),CPO Piemonte,Italy
"South Russian Regional Centre for Preparation and Implementation of International Projects, Limited (CPPI - S Ltd.)","South Russian Regional Centre for Preparation and Implementation of International Projects, Limited (CPPI - S Ltd.)",CPPI - S Ltd.,Russia
Centre for Policy Research,Centre for Policy Research,CPR,India
Cancer Prevention and Research Institute of Texas,Cancer Prevention and Research Institute of Texas,CPRIT,United States of America (USA)
Geological Survey of Brazil,Geological Survey of Brazil,CPRM,Brazil
China Pharmaceutical University,China Pharmaceutical University,CPU,China
Conference of University Presidents,Conference of University Presidents,CPU,France
Cape Peninsula University of Technology,Cape Peninsula University of Technology,CPUT,South Africa
ChongQing Industry Polytechnic College,ChongQing Industry Polytechnic College,CQIPC,China
Chongqing Medical University,Chongqing Medical University,CQMU,China
Chongqing Normal University,Chongqing Normal University,CQNU,China
Canadian Quantum Research Center,Canadian Quantum Research Center,CQRC,Canada
Chongqing Three Gorges University,Chongqing Three Gorges University,CQTGU,China
Central Queensland University,Central Queensland University,CQU,Australia
Chongqing University,Chongqing University,CQU,China
Chongqing University of Education,Chongqing University of Education,CQUE,China
Chongqing University of Posts and Telecommunications,Chongqing University of Posts and Telecommunications,CQUPT,China
Chongqing University of Science and Technology,Chongqing University of Science and Technology,CQUST,China
Chongqing University of Arts and Sciences,Chongqing University of Arts and Sciences,CQWU,China
Chulabhorn Royal Academy,Chulabhorn Royal Academy,CRA,Thailand
Chinese Research Academy of Environmental Sciences,Chinese Research Academy of Environmental Sciences,CRAES,China
Centro Ricerche Cliniche di Verona srl,Centro Ricerche Cliniche di Verona srl,CRC,Italy
Cooperative Research Centre for Contamination Assessment and Remediation of the Environment (CRC CARE),Cooperative Research Centre for Contamination Assessment and Remediation of the Environment (CRC CARE),CRC CARE,Australia
Costa Rica Department of Social Security,Costa Rica Department of Social Security,CRDSS,Costa Rica
Council for Agricultural Research and Analysis of Agricultural Economics,Council for Agricultural Research and Analysis of Agricultural Economics,CREA,Italy
Campus for Research Excellence and Technological Enterprise,Campus for Research Excellence and Technological Enterprise,CREATE,Singapore
Centre de Recherches sur la Géologie des Matières Premières Minérales et Energétiques,Centre de Recherches sur la Géologie des Matières Premières Minérales et Energétiques,CREGU,France
"Center for Research in Economics, Management and the Arts","Center for Research in Economics, Management and the Arts",CREMA,Switzerland
Crop Research Institute,Crop Research Institute,CRI,Czech Republic
Center for Research and Interdisciplinarity (CRI Paris),Center for Research and Interdisciplinarity (CRI Paris),CRI Paris,France
Central Research Institute of Electric Power Industry,Central Research Institute of Electric Power Industry,CRIEPI,Japan
Centre de Recerca Matemàtica,Centre de Recerca Matemàtica,CRM,Spain
Cancer Registry of Norway,Cancer Registry of Norway,CRN,Norway
Centre de Recherches Océanologiques,Centre de Recherches Océanologiques,CRO,Ivory Coast
Comprehensive Research Organization for Science and Society,Comprehensive Research Organization for Science and Society,CROSS,Japan
Centro de Reabilitação Profissional de Gaia,Centro de Reabilitação Profissional de Gaia,CRPG,Portugal
Conservatoire à Rayonnement Régional de Nice,Conservatoire à Rayonnement Régional de Nice,CRR,France
Coral Reef Research Foundation,Coral Reef Research Foundation,CRRF,Palau
Clinical Research Services,Clinical Research Services,CRS,Germany
National Center for Research in Natural Sciences,National Center for Research in Natural Sciences,CRSN,Congo
Changjiang River Scientific Research Institute,Changjiang River Scientific Research Institute,CRSRI,China
Centre de Recherche en Technologie des Semi-conducteurs pour l'Energétique,Centre de Recherche en Technologie des Semi-conducteurs pour l'Energétique,CRTSE,Algeria
Cancer Research UK,Cancer Research UK,CRUK,United Kingdom (UK)
Conservation Science Alliance (CSA) - Species360,Conservation Science Alliance (CSA) - Species360,CSA,United States of America (USA)
Computational Science and Applied Research Institute,Computational Science and Applied Research Institute,CSAR,China
Centre Suisse d'Electronique et Microtechnique SA (CSEM SA),Centre Suisse d'Electronique et Microtechnique SA (CSEM SA),CSEM SA,Switzerland
Campus Science Support Facilities GmbH,Campus Science Support Facilities GmbH,CSF,Austria
Centro Siciliano di Fisica Nucleare e di Struttura della Materia,Centro Siciliano di Fisica Nucleare e di Struttura della Materia,CSFNSM,Italy
"China Southern Power Grid Co., Ltd.","China Southern Power Grid Co., Ltd.",CSG,China
Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory,CSHL,United States of America (USA)
China Shipbuilding Industry Corporation,China Shipbuilding Industry Corporation,CSIC,China
Spanish National Research Council,Spanish National Research Council,CSIC,Spain
Comisión Sectorial de Investigación Científica,Comisión Sectorial de Investigación Científica,CSIC,Uruguay
China State Institute of Pharmaceutical Industry,China State Institute of Pharmaceutical Industry,CSIPI,China
Council of Scientific and Industrial Research,Council of Scientific and Industrial Research,CSIR,India
Council for Scientific and Industrial Research,Council for Scientific and Industrial Research,CSIR,South Africa
The Commonwealth Scientific and Industrial Research Organisation,The Commonwealth Scientific and Industrial Research Organisation,CSIRO,Australia
Chhatrapati Shahu Ji Maharaj University,Chhatrapati Shahu Ji Maharaj University,CSJMU,India
Scientific Centre of Monaco,Scientific Centre of Monaco,CSM,Monaco
Corporació Sanitària Parc Taulí,Corporació Sanitària Parc Taulí,CSPT,Spain
Sub-Regional Fisheries Commission,Sub-Regional Fisheries Commission,CSRP,Senegal
Sudanese and Sub-Saharan Studies Center,Sudanese and Sub-Saharan Studies Center,CSSeS,Italy
Scientific and Technical Center for Building,Scientific and Technical Center for Building,CSTB,France
Cincinnati State Technical and Community College,Cincinnati State Technical and Community College,CSTCC,United States of America (USA)
"Center for Study of Science, Technology and Policy","Center for Study of Science, Technology and Policy",CSTEP,India
Charles Sturt University,Charles Sturt University,CSU,Australia
Central South University,Central South University,CSU,China
Chicago State University,Chicago State University,CSU,United States of America (USA)
"California State University, Bakersfield (CSU Bakersfield)","California State University, Bakersfield (CSU Bakersfield)",CSU Bakersfield,United States of America (USA)
"California State University, Stanislaus (CSU Stanislaus)","California State University, Stanislaus (CSU Stanislaus)",CSU Stanislaus,United States of America (USA)
Colorado State University-Pueblo (CSU-Pueblo),Colorado State University-Pueblo (CSU-Pueblo),CSU-Pueblo,United States of America (USA)
"California State University, Dominguez Hills","California State University, Dominguez Hills",CSUDH,United States of America (USA)
"California State University, East Bay","California State University, East Bay",CSUEB,United States of America (USA)
"California State University, Fullerton","California State University, Fullerton",CSUF,United States of America (USA)
Central South University of Forestry and Technology,Central South University of Forestry and Technology,CSUFT,China
"California State University, Los Angeles","California State University, Los Angeles",CSULA,United States of America (USA)
"California State University, Long Beach","California State University, Long Beach",CSULB,United States of America (USA)
"California State University, Northridge","California State University, Northridge",CSUN,United States of America (USA)
"California State University, San Bernardino","California State University, San Bernardino",CSUSB,United States of America (USA)
"California State University, San Marcos","California State University, San Marcos",CSUSM,United States of America (USA)
Changsha University of Science and Technology,Changsha University of Science and Technology,CSUST,China
Center for Severe Weather Research,Center for Severe Weather Research,CSWR,United States of America (USA)
Chongqing Technology and Business University,Chongqing Technology and Business University,CTBU,China
"China Building Material Test and Certification Group Company, Ltd.","China Building Material Test and Certification Group Company, Ltd.",CTC,China
China Three Gorges Corporation,China Three Gorges Corporation,CTG,China
Board for the Authorisation of Plant Protection Products and Biocides,Board for the Authorisation of Plant Protection Products and Biocides,Ctgb,Netherlands
China Three Gorges University,China Three Gorges University,CTGU,China
Center for Tropical Livestock Genetics and Health,Center for Tropical Livestock Genetics and Health,CTLGH,United Kingdom (UK)
Conservation Through Public Health,Conservation Through Public Health,CTPH,Uganda
Czech Technical University in Prague,Czech Technical University in Prague,CTU,Czech Republic
Can Tho University,Can Tho University,CTU,Vietnam
University of Chittagong,University of Chittagong,CU,Bangladesh
University of Colorado System,University of Colorado System,CU, United States of America (USA)
Charles University,Charles University,CU,Czech Republic
Cairo University,Cairo University,CU,Egypt
University of Calcutta,University of Calcutta,CU,India
Chulalongkorn University,Chulalongkorn University,CU,Thailand
Columbia University in the City of New York,Columbia University in the City of New York,CU,United States of America (USA)
University of Colorado Anschutz Medical Campus (CU Anschutz),University of Colorado Anschutz Medical Campus,CU Anschutz,United States of America (USA)
University of Colorado Denver (CU Denver),University of Colorado Denver,CU Denver,United States of America (USA)
University of Colorado Boulder (CU-Boulder),University of Colorado Boulder,CU-Boulder,United States of America (USA)
Catholic University of America,Catholic University of America,CUA,United States of America (USA)
Carinthia University of Applied Sciences,Carinthia University of Applied Sciences,CUAS,Austria
Central University of Finance and Economics,Central University of Finance and Economics,CUFE,China
China University of Geosciences,China University of Geosciences,CUG,China
"China University of Geosciences, Beijing","China University of Geosciences, Beijing",CUGB,China
The Chinese University of Hong Kong,The Chinese University of Hong Kong,CUHK,China
Central University of Himachal Pradesh,Central University of Himachal Pradesh,CUHP,India
COMSATS University Islamabad,COMSATS University Islamabad,CUI,Pakistan
Chengdu University of Information Technology,Chengdu University of Information Technology,CUIT,China
Central University of Jharkhand,Central University of Jharkhand,CUJ,India
Central University of Karnataka,Central University of Karnataka,CUK,India
Central University of Kerala,Central University of Kerala,CUK,India
"City, University of London","City, University of London",CUL,United Kingdom (UK)
Czech University of Life Sciences Prague,Czech University of Life Sciences Prague,CULS,Czech Republic
China University of Mining and Technology,China University of Mining and Technology,CUMT,China
"China University of Mining And Technology, Beijing","China University of Mining And Technology, Beijing",CUMTB,China
The City University of New York,The City University of New York,CUNY,United States of America (USA)
"China University of Petroleum, East China (CUP East China)","China University of Petroleum, East China (CUP East China)",CUP East China,China
"China University of Petroleum, Beijing","China University of Petroleum, Beijing",CUPB,China
Central University of Punjab Bathinda,Central University of Punjab Bathinda,CUPB,India
Centre Universitaire Régional de la SAVA,Centre Universitaire Régional de la SAVA,CURSA,Madagascar
Cluster University Srinagar,Cluster University Srinagar,CUS,India
Cochin University of Science and Technology,Cochin University of Science and Technology,CUSAT,India
Central University of South Bihar,Central University of South Bihar,CUSB,India
ChangChun University of Science and Technology,ChangChun University of Science and Technology,CUST,China
Cyprus University of Technology,Cyprus University of Technology,CUT,Cyprus
Tadeusz Kościuszko Cracow University of Technology,Tadeusz Kościuszko Cracow University of Technology,CUT,Poland
Central University of Tamil Nadu,Central University of Tamil Nadu,CUTN,India
Concordia University Wisconsin,Concordia University Wisconsin,CUW,United States of America (USA)
Centre for Voting Opinion and Trends in Election Research,Centre for Voting Opinion and Trends in Election Research,CVoter,India
Chemical and Veterinary Investigation Office Münsterland-Emscher-Lippe (CVUA-MEL),Chemical and Veterinary Investigation Office Münsterland-Emscher-Lippe (CVUA-MEL),CVUA-MEL,Germany
Canadian Wildlife Health Cooperative,Canadian Wildlife Health Cooperative,CWHC,Canada
China West Normal University,China West Normal University,CWNU,China
Center for Whale Research,Center for Whale Research,CWR,United States of America (USA)
Case Western Reserve University,Case Western Reserve University,CWRU,United States of America (USA)
Central Washington University,Central Washington University,CWU,United States of America (USA)
Canisius-Wilhelmina Hospital,Canisius-Wilhelmina Hospital,CWZ,Netherlands
Millennium Nucleus the Seismic Cycle along Subduction Zones,Millennium Nucleus the Seismic Cycle along Subduction Zones,CYCLO,Chile
Chung Yuan Christian University,Chung Yuan Christian University,CYCU,Taiwan
The Cyprus Institute,The Cyprus Institute,CyI,Cyprus
Chan Zuckerberg Biohub (CZ Biohub),Chan Zuckerberg Biohub (CZ Biohub),CZ Biohub,United States of America (USA)
Changzhou Vocational Institute of Engineering,Changzhou Vocational Institute of Engineering,CZIE,China
Changzhou University,Changzhou University,CZU,China
Laboratory of Data Discovery for Health Limited,Laboratory of Data Discovery for Health Limited,D24H,China
Dhirubhai Ambani Institute of Information and Communication Technology (DA-IICT),Dhirubhai Ambani Institute of Information and Communication Technology (DA-IICT),DA-IICT,India
South Africa Department of Arts and Culture,South Africa Department of Arts and Culture,DAC,South Africa
"Maine Department of Agriculture, Conservation and Forestry","Maine Department of Agriculture, Conservation and Forestry",DACF,United States of America (USA)
Department of Atomic Energy,Department of Atomic Energy,DAE,India
Queensland Department of Agriculture and Fisheries,Queensland Department of Agriculture and Fisheries,DAF,Australia
"South Africa Department of Agriculture, Forestry and Fisheries","South Africa Department of Agriculture, Forestry and Fisheries",DAFF,South Africa
"Department of Agriculture and Food, Western Australia","Department of Agriculture and Food, Western Australia",DAFWA,Australia
Department of Agricultural Research and Technical Services,Department of Agricultural Research and Technical Services,DARTS,Malawi
Diagnósticos da América S.A.,Diagnósticos da América S.A.,Dasa,Brazil
Debre Berhan University,Debre Berhan University,DBU,Ethiopia
District of Columbia Water and Sewer Authority (DC WASA),District of Columbia Water and Sewer Authority (DC WASA),DC WASA,United States of America (USA)
Diabetes Center Berne,Diabetes Center Berne,DCB,Switzerland
Dutch Childhood Oncology Group,Dutch Childhood Oncology Group,DCOG,Netherlands
Virginia Department of Conservation and Recreation,Virginia Department of Conservation and Recreation,DCR,United States of America (USA)
DeKalb County School District,DeKalb County School District,DCSD,United States of America (USA)
Department of Aerospace Science and Technology,Department of Aerospace Science and Technology,DCTA,Brazil
Dublin City University,Dublin City University,DCU,Ireland
Danish Diabetes Academy,Danish Diabetes Academy,DDA,Denmark
Dachverband Deutscher Avifaunisten e.V.,Dachverband Deutscher Avifaunisten e.V.,DDA,Germany
Dasman Diabetes Institute,Dasman Diabetes Institute,DDI,Kuwait
"Federal Department of Defence, Civil Protection and Sport","Federal Department of Defence, Civil Protection and Sport",DDPS,Switzerland
Deutsche COVID-19 OMICS Initiative,Deutsche COVID-19 OMICS Initiative,DeCOI,Germany
"Department of Economic Development, Jobs, Transport and Resources (DEDJTR), State Government of Victoria","Department of Economic Development, Jobs, Transport and Resources (DEDJTR), State Government of Victoria",DEDJTR,Australia
Brazil Ministry of Defense,Brazil Ministry of Defense,DEFESA,Brazil
"Department of Environment, Forestry and Fisheries","Department of Environment, Forestry and Fisheries",DEFF,South Africa
"United Kingdom Department for Environment, Food and Rural Affairs","United Kingdom Department for Environment, Food and Rural Affairs",Defra,United Kingdom (UK)
Department of Electronics and Information Technology,Department of Electronics and Information Technology,DeitY,India
"Department of Environment, Land, Water and Planning (DELWP), State Government Victoria","Department of Environment, Land, Water and Planning , State Government Victoria",DELWP,Australia
Dian Fossey Gorilla Fund International,Dian Fossey Gorilla Fund International,DFGFI,United States of America (USA)
German Research Center for Artificial Intelligence GmbH,German Research Center for Artificial Intelligence GmbH,DFKI,Germany
Children's University Hospital,Children's University Hospital,DFNsP,Slovakia
Department of Fisheries and Oceans Canada,Department of Fisheries and Oceans Canada,DFO,Canada
Daegu Gyeongbuk Institute of Science and Technology,Daegu Gyeongbuk Institute of Science and Technology,DGIST,South Korea
Daegu Gyeongbuk Medical Innovation Foundation,Daegu Gyeongbuk Medical Innovation Foundation,DGMIF,South Korea
Dongguan University of Technology,Dongguan University of Technology,DGUT,China
Maryland Department of Health and Mental Hygiene,Maryland Department of Health and Mental Hygiene,DHMH,United States of America (USA)
Meteorological and Hydrological Service of Croatia,Meteorological and Hydrological Service of Croatia,DHMZ,Croatia
U.S. Department of Homeland Security,U.S. Department of Homeland Security,DHS,United States of America (USA)
United Kingdom Department of Health and Social Care,United Kingdom Department of Health and Social Care,DHSC,United Kingdom (UK)
Donghua University,Donghua University,DHU,China
German Heart Center Berlin,German Heart Center Berlin,DHZB,Germany
Dublin Institute for Advanced Studies,Dublin Institute for Advanced Studies,DIAS,Ireland
Duluth Institute for Advanced Study,Duluth Institute for Advanced Study,dIAS,United States of America (USA)
German Development Institute,German Development Institute,DIE,Germany
Dutch Institute for Emergent Phenomena,Dutch Institute for Emergent Phenomena,DIEP,Netherlands
Dirección Nacional de Recursos Acuáticos,Dirección Nacional de Recursos Acuáticos,DINARA,Uruguay
Dauphin Island Sea Lab,Dauphin Island Sea Lab,DISL,United States of America (USA)
Development of Innovative Strategies for a Transdisciplinary Approach to Alzheimer’s Disease,Development of Innovative Strategies for a Transdisciplinary Approach to Alzheimer’s Disease,DISTALZ,France
Deggendorf Institute of Technology,Deggendorf Institute of Technology,DIT,Germany
"Ireland Department of Jobs, Enterprise and Innovation","Ireland Department of Jobs, Enterprise and Innovation",DJEI,Ireland
"Victoria Department of Jobs, Precincts and Regions","Victoria Department of Jobs, Precincts and Regions",DJPR,Australia
Dundalk Institute of Technology,Dundalk Institute of Technology,DkIT,Ireland
Dankook University,Dankook University,DKU,South Korea
De La Salle University,De La Salle University,DLSU,Philippines
Detroit Medical Center,Detroit Medical Center,DMC,United States of America (USA)
State of Connecticut Department of Mental Health & Addiction Services,State of Connecticut Department of Mental Health & Addiction Services,DMHAS,United States of America (USA)
Datta Meghe Institute of Medical Sciences,Datta Meghe Institute of Medical Sciences,DMIMS,India
Dalian Medical University,Dalian Medical University,DMU,China
Debre Markos University,Debre Markos University,DMU,Ethiopia
Drugs for Neglected Diseases initiative,Drugs for Neglected Diseases initiative,DNDi,Switzerland
Alaska Department of Natural Resources,Alaska Department of Natural Resources,DNR,United States of America (USA)
Maryland Department of Natural Resources,Maryland Department of Natural Resources,DNR,United States of America (USA)
Washington State Department of Natural Resources,Washington State Department of Natural Resources,DNR,United States of America (USA)
Queensland Department of Natural Resources and Mines,Queensland Department of Natural Resources and Mines,DNRM,Australia
Department of Natural Resources and Parks (DNRP) - King County,Department of Natural Resources and Parks (DNRP) - King County,DNRP,United States of America (USA)
Daqing Normal University,Daqing Normal University,DNU,China
Oles Honchar Dnipropetrovsk National University,Oles Honchar Dnipropetrovsk National University,DNU,Ukraine
U.S. Department of Defense,U.S. Department of Defense,DoD,United States of America (USA)
U.S. Department of Energy,U.S. Department of Energy,DOE,United States of America (USA)
Dansk Ornitologisk Forening,Dansk Ornitologisk Forening,DOF,Denmark
South Africa Department of Health,South Africa Department of Health,DOH,South Africa
New York City Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,DOHMH,United States of America (USA)
U.S. Department of the Interior,U.S. Department of the Interior,DOI,United States of America (USA)
India Department of Space,India Department of Space,DOS,India
U.S. Department of Transportation,U.S. Department of Transportation,DOT,United States of America (USA)
Dalian Ocean University,Dalian Ocean University,DOU,China
Doğuş University,Doğuş University,DOU,Turkey
Dirección Provincial de Cultura,Dirección Provincial de Cultura,DPC,Cuba
Massachusetts Department of Public Health,Massachusetts Department of Public Health,DPH,United States of America (USA)
Dutch Polymer Institute,Dutch Polymer Institute,DPI,Netherlands
Danube Private University,Danube Private University,DPU,Austria
"Dr. D.Y. Patil Vidyapeeth, Pune","Dr. D.Y. Patil Vidyapeeth, Pune",DPU,India
Defence Research and Development Organisation,Defence Research and Development Organisation,DRDO,India
Desert Research Foundation of Namibia,Desert Research Foundation of Namibia,DREN,Namibia
German Red Cross,German Red Cross,DRK,Germany
Danderyd Hospital,Danderyd Hospital,DS,Sweden
Norwegian Radiation and Nuclear Safety Authority,Norwegian Radiation and Nuclear Safety Authority,DSA,Norway
Texas Department of State Health Services,Texas Department of State Health Services,DSHS,United States of America (USA)
Dayananda Sagar Institutions,Dayananda Sagar Institutions,DSI,India
Koninklijke DSM N.V.,Koninklijke DSM N.V.,DSM,Netherlands
"Daewoo Shipbuilding and Marine Engineering Co., Ltd.","Daewoo Shipbuilding and Marine Engineering Co., Ltd.",DSME,South Korea
Defence Services Medical Research Centre,Defence Services Medical Research Centre,DSMRC,Myanmar
Department of Science and Technology,Department of Science and Technology,DST,South Africa
Defence Science and Technology Agency,Defence Science and Technology Agency,DSTA,Singapore
Defence Science and Technology Laboratory,Defence Science and Technology Laboratory,DSTL,United Kingdom (UK)
DHA Suffa University,DHA Suffa University,DSU,Pakistan
Dagestan State University,Dagestan State University,DSU,Russia
Delaware State University,Delaware State University,DSU,United States of America (USA)
Dakota State University,Dakota State University,DSU,United States of America (USA)
Deutsche Saatveredelung AG,Deutsche Saatveredelung AG,DSV,Germany
Defense Agency of Technology and Quality,Defense Agency of Technology and Quality,DTaQ,South Korea
Desmond Tutu HIV Foundation,Desmond Tutu HIV Foundation,DTHF,South Africa
Dong Thap University,Dong Thap University,DThU,Vietnam
Technical University of Denmark,Technical University of Denmark,DTU,Denmark
Delhi Technological University,Delhi Technological University,DTU,India
Duy Tan University,Duy Tan University,DTU,Vietnam
University of Dhaka,University of Dhaka,DU,Bangladesh
Dali University,Dali University,DU,China
University of Delhi,University of Delhi,DU,India
Daugavpils University,Daugavpils University,DU,Latvia
Dagon University,Dagon University,DU,Myanmar
Dalarna University,Dalarna University,DU,Sweden
Dow University of Health Sciences,Dow University of Health Sciences,DUHS,Pakistan
Daiichi University of Pharmacy,Daiichi University of Pharmacy,DUP,Japan
Dura Automotive Systems,Dura Automotive Systems,Dura,United States of America (USA)
Dalian University of Technology,Dalian University of Technology,DUT,China
Durban University of Technology,Durban University of Technology,DUT,South Africa
University of Science and Technology - The University of Danang,University of Science and Technology - The University of Danang,DUT,Vietnam
Democritus University of Thrace,Democritus University of Thrace,DUTH,Greece
German Centre for Cardiovascular Research,German Centre for Cardiovascular Research,DZHK,Germany
German Center for Infection Research,German Center for Infection Research,DZIF,Germany
The German Center for Lung Research,The German Center for Lung Research,DZL,Germany
Dezhou University,Dezhou University,DZU,China
Environment Agency Austria,Environment Agency Austria,EAA,Austria
Egyptian Atomic Energy Authority,Egyptian Atomic Energy Authority,EAEA,Egypt
"Federal Department of Economic Affairs, Education and Research","Federal Department of Economic Affairs, Education and Research",EAER,Switzerland
Jena University of Applied Sciences (EAH Jena),Jena University of Applied Sciences (EAH Jena),EAH Jena,Germany
East Asian Observatory,East Asian Observatory,EAO,United States of America (USA)
EarlyDiagnostics Inc.,EarlyDiagnostics Inc.,EarlyDx,United States of America (USA)
Swiss Federal Institute of Aquatic Science and Technology,Swiss Federal Institute of Aquatic Science and Technology,EAWAG,Switzerland
European Association of Zoos and Aquaria,European Association of Zoos and Aquaria,EAZA,Netherlands
East Bay Innovation Academy,East Bay Innovation Academy,EBIA,United States of America (USA)
European Brain Research Institute,European Brain Research Institute,EBRI,Italy
European Biomedical Research Institute of Salerno,European Biomedical Research Institute of Salerno,EBRIS,Italy
Ethiopian Biotechnology Institute,Ethiopian Biotechnology Institute,EBTi,Ethiopia
European Commission,European Commission,EC,Belgium
Egyptian Center for Evidence Based Medicine (EC EBM),Egyptian Center for Evidence Based Medicine (EC EBM),EC EBM,Egypt
École Centrale de Nantes (EC Nantes),École Centrale de Nantes (EC Nantes),EC Nantes,France
Environment and Climate Change Canada,Environment and Climate Change Canada,ECCC,Canada
European Centre of Disease Prevention and Control,European Centre of Disease Prevention and Control,ECDC,Sweden
Educational Commission for Foreign Medical Graduates,Educational Commission for Foreign Medical Graduates,ECFMG,United States of America (USA)
European Center for Geodynamics and Seismology,European Center for Geodynamics and Seismology,ECGS,Luxembourg
East China Institute of Technology,East China Institute of Technology,ECIT,China
Alma Mater Europaea,Alma Mater Europaea,ECM,Slovenia
Experimental Cancer Medicine Centre (ECMC) Network,Experimental Cancer Medicine Centre (ECMC) Network,ECMC,United Kingdom (UK)
European Centre for Medium-Range Weather Forecasts,European Centre for Medium-Range Weather Forecasts,ECMWF,United Kingdom (UK)
"Empresa Cubana de Navegación Aérea, S.A. (ECNA, S.A.)","Empresa Cubana de Navegación Aérea, S.A. (ECNA, S.A.)","ECNA, S.A.",Cuba
East China Normal University,East China Normal University,ECNU,China
Edith Cowan University,Edith Cowan University,ECU,Australia
East Carolina University,East Carolina University,ECU,United States of America (USA)
East China University of Science and Technology,East China University of Science and Technology,ECUST,China
East Dorset Antiquarian Society,East Dorset Antiquarian Society,EDAS,United Kingdom (UK)
European & Developing Countries Clinical Trials Partnership,European & Developing Countries Clinical Trials Partnership,EDCTP,South Africa
Électricité de France S.A.,Électricité de France S.A.,EDF,France
Environmental Defense Fund,Environmental Defense Fund,EDF,United States of America (USA)
École Doctorale Régional (EDR) en Infectiologie Tropicale d'Afrique Centrale,École Doctorale Régional (EDR) en Infectiologie Tropicale d'Afrique Centrale,EDR,Gabon
Education University of Hong Kong,Education University of Hong Kong,EdUHK,China
European Environment Agency,European Environment Agency,EEA,Denmark
Etosha Ecological Institute,Etosha Ecological Institute,EEI,Namibia
"Eusserthal Ecosystem Research Station (EERES), University of Koblenz and Landau","Eusserthal Ecosystem Research Station (EERES), University of Koblenz and Landau",EERES,Germany
French School of Asian Studies,French School of Asian Studies,EFEO,France
European Forest Institute,European Forest Institute,EFI,Finland
Etablissement Français du Sang,Etablissement Français du Sang,EFS,France
"MIchigan Department of Environment, Great Lakes and Energy","MIchigan Department of Environment, Great Lakes and Energy",EGLE,United States of America (USA)
European Gravitational Observatory,European Gravitational Observatory,EGO,Italy
French School of Public Health,French School of Public Health,EHESP,France
School of Higher Studies in Social Sciences,School of Higher Studies in Social Sciences,EHESS,France
Earlham Institute,Earlham Institute,EI,United Kingdom (UK)
Escuela de Ingeniería de Antioquia,Escuela de Ingeniería de Antioquia,EIA,Colombia
Ecopath International Initiative,Ecopath International Initiative,EII,Spain
Albert Einstein College of Medicine,Albert Einstein College of Medicine,Einstein,United States of America (USA)
European Institute of Peace,European Institute of Peace,EIP,Belgium
European Incoherent Scatter Scientific Association,European Incoherent Scatter Scientific Association,EISCAT,Sweden
Ekiti State University Ado Ekiti,Ekiti State University Ado Ekiti,EKSU,Nigeria
Eszterházy Károly University of Applied Sciences,Eszterházy Károly University of Applied Sciences,EKU,Hungary
Eastern Kentucky University,Eastern Kentucky University,EKU,United States of America (USA)
The Experimental Lakes Area,The Experimental Lakes Area,ELA,Canada
East London NHS Foundation Trust,East London NHS Foundation Trust,ELFT,United Kingdom (UK)
Eötvös Loránd University,Eötvös Loránd University,ELTE,Hungary
Eastern Liaoning University,Eastern Liaoning University,ELU,China
"Kainuu Centre for Economic Development, Transport and the Environment","Kainuu Centre for Economic Development, Transport and the Environment",ELY,Finland
École des Mines d'Alès,École des Mines d'Alès,EMA,France
Institute of Innovative Technologies,Institute of Innovative Technologies,EMAG,Poland
European Molecular Biology Laboratory,European Molecular Biology Laboratory,EMBL,Germany
European Molecular Biology Organization,European Molecular Biology Organization,EMBO,Germany
Environmental Model and Data Optima Inc.,Environmental Model and Data Optima Inc.,EMDO,United States of America (USA)
Estrutura de Missão para a Extensão da Plataforma Continental,Estrutura de Missão para a Extensão da Plataforma Continental,EMEPC,Portugal
European Magnetic Field Laboratory,European Magnetic Field Laboratory,EMFL,Germany
East Metropolitan Health Service,East Metropolitan Health Service,EMHS,Australia
Ministry of Human Capacities,Ministry of Human Capacities,EMMI,Hungary
Swiss Federal Laboratories for Materials Science and Technology,Swiss Federal Laboratories for Materials Science and Technology,EMPA,Switzerland
Electronic Medical Records for The Developing World,Electronic Medical Records for The Developing World,Emr4dw,United Kingdom (UK)
Ecometrics Research and Consulting,Ecometrics Research and Consulting,EMRC,United Kingdom (UK)
Eastern Mediterranean University,Eastern Mediterranean University,EMU,Cyprus
Eastern Michigan University,Eastern Michigan University,EMU,United States of America (USA)
National School of Anthropology and History,National School of Anthropology and History,ENAH,Mexico
Empresa Nacional del Petróleo,Empresa Nacional del Petróleo,ENAP,Chile
"Italian National Agency for New Technologies, Energy and Sustainable Economic Development","Italian National Agency for New Technologies, Energy and Sustainable Economic Development",ENEA,Italy
European Network of Research Ethics and Research Integrity (ENERI) - Austria,European Network of Research Ethics and Research Integrity - Austria,ENERI,Austria
National School for Water and Environmental Engineering of Strasbourg,National School for Water and Environmental Engineering of Strasbourg,ENGEES,France
